0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0100 0000 0001 0000 0011 1110  Opcode:  ADD  | Rs = R2 | Rt = R0  | Rd = R2 
0000 0100 0000 0010 0000 0100 1011 0000  Opcode:  ADDI | Rs = R0 | Rt = R2  | Imm = 1200 
0000 0000 0000 0000 0011 1000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R7 
0000 0000 0000 0000 0100 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R8 
0000 0000 0000 0000 0100 1000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R9 
0000 0000 0000 0000 0101 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R10 
0000 0100 0000 1011 0000 0000 0011 0010  Opcode:  ADDI | Rs = R0 | Rt = R11 | Imm = 50 
0000 0100 0000 1100 0000 0000 0010 0000  Opcode:  ADDI | Rs = R0 | Rt = R12 | Imm = 32 
0011 1101 0100 1011 0000 0000 0000 1101  Opcode:  BEQ  | Rs = R10| Rt = R11 | Imm = 13 
0011 0000 0010 0011 0000 0000 0000 0000  Opcode:  LDW  | Rs = R1 | Rt = R3  | Imm = 0 
0011 0000 0100 0100 0000 0000 0000 0000  Opcode:  LDW  | Rs = R2 | Rt = R4  | Imm = 0 
0000 1000 0110 0100 0010 1000 0000 0000  Opcode:  SUB  | Rs = R3 | Rt = R4  | Rd = R5 
0010 0100 1010 0110 0000 0000 0000 0001  Opcode:  ANDI | Rs = R5 | Rt = R6  | Imm = 1 
0011 1000 1100 0000 0000 0000 0000 0010  Opcode:  BZ   | Rs = R6 | Rt = R0  | Imm = 2 
0000 0100 1110 0111 0000 0000 0000 0001  Opcode:  ADDI | Rs = R7 | Rt = R7  | Imm = 1 
0000 0001 0000 0011 0100 0000 0000 0000  Opcode:  ADD  | Rs = R8 | Rt = R3  | Rd = R8 
0000 0001 0010 0100 0100 1000 0000 0000  Opcode:  ADD  | Rs = R9 | Rt = R4  | Rd = R9 
0000 0100 0010 0001 0000 0000 0000 0100  Opcode:  ADDI | Rs = R1 | Rt = R1  | Imm = 4 
0000 0100 0100 0010 0000 0000 0000 0100  Opcode:  ADDI | Rs = R2 | Rt = R2  | Imm = 4 
0000 0101 0100 1010 0000 0000 0000 0001  Opcode:  ADDI | Rs = R10| Rt = R10 | Imm = 1 
0100 0001 1000 0000 0000 0000 0000 0000  Opcode:  JR   | Rs = R12| Rt = R0  | Imm = 0 
0011 0100 0000 0111 0000 0101 0111 1000  Opcode:  STW  | Rs = R0 | Rt = R7  | Imm = 1400 
0011 0100 0000 1000 0000 0101 0111 1100  Opcode:  STW  | Rs = R0 | Rt = R8  | Imm = 1404 
0011 0100 0000 1001 0000 0101 1000 0000  Opcode:  STW  | Rs = R0 | Rt = R9  | Imm = 1408 
0100 0100 0000 0000 0000 0000 0000 0000  Opcode:  HALT | Rs = R0 | Rt = R0  | Imm = 0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
